BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
20926 GRESHAM ST,383518906590,97.6,COMPLIED,-1,-1,51,No,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",25848,Not Available,Not Available,2,100,Not Available,91304,2020,Multifamily Housing,64.6,113.7,2005.5,66.7,115.9,1976,031,"20,000 to 49,999 sqft"
11113 MOORPARK ST,448927877428,60.3,COMPLIED,-0.9,-0.9,51,No,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",17644,Not Available,Not Available,1,100,Not Available,91602,2020,Multifamily Housing,58.3,104,785.5,59.8,105.6,1978,035,"20,000 to 49,999 sqft"
1225 RIO VISTA AVE,494288832615,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Byer California,85000,Not Available,Not Available,1,100,Not Available,90023,2019,Distribution Center,Not Available,Not Available,Not Available,Not Available,Not Available,2008,003,"50,000 to 99,999 sqft"
9000 N BALBOA BLVD,410116908049,,NOT COMPLIED,,,,,,,,,,,,,,91325,2021,,,,,,,,012,"50,000 to 99,999 sqft"
11740 MONTANA AVE,419956842386,,NOT COMPLIED,,,,,,,,,,,,,,90049,2024,,,,,,,,063,"20,000 to 49,999 sqft"
7243 SHIRLEY AVE,392795896526,83.5,COMPLIED,-21.8,-21.8,82,Yes,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",30811,Not Available,Not Available,3,100,Not Available,91335,2020,Multifamily Housing,45.5,86.6,3943,48.3,89.5,1978,146,"20,000 to 49,999 sqft"
6931 HOLLYWOOD BLVD,999000000031,687.8,COMPLIED,266.9,266.9,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",44300,Not Available,Not Available,1,100,Not Available,90028,2020,Museum,275,411,208.7,275,411,2009,003,"20,000 to 49,999 sqft"
12800 WENTWORTH ST,437289908589,,NOT COMPLIED,,,,,,,,,,,,,,91331,2020,,,,,,,,068,"50,000 to 99,999 sqft"
16201 S FIGUEROA ST,475728780387,119.4,COMPLIED,-12.8,-12.8,71,No,Not Available,Not Available,"Vert Energy Group, Inc.",57788,Not Available,Not Available,1,90,Not Available,90248,2022,Multifamily Housing,32.8,71.4,3146.3,33.2,71.8,1980,035,"50,000 to 99,999 sqft"
2445 S SANTA FE AVE,491656827947,5,COMPLIED,-79.3,-79.3,97,No,Not Available,Not Available,"Vert Energy Group, Inc.",23899,Not Available,Not Available,1,100,Not Available,90058,2020,Non-Refrigerated Warehouse,3,8.5,97.2,3,8.5,1940,030,"20,000 to 49,999 sqft"
8749 TOBIAS AVE,425077906171,51.8,COMPLIED,-28,-28,91,Yes,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",20591,Not Available,Not Available,1,100,Not Available,91402,2020,Multifamily Housing,42.5,79,1727.3,44.8,81.4,1960,036,"20,000 to 49,999 sqft"
611 E 59TH ST,481584818122,,NOT COMPLIED,,,,,,,,,,,,,,90001,2022,,,,,,,,019,"20,000 to 49,999 sqft"
19321 HARBORGATE WAY,469270769627,100.2,COMPLIED,-28.7,-28.7,67,No,Not Available,Not Available,Seville Classics,144628,Not Available,Not Available,1,100,Not Available,90501,2020,Distribution Center,10.5,29.3,1055.5,10.3,28.9,2001,041,"100,000+ sqft"
410 S AVALON BLVD,482583737539,,NOT COMPLIED,,,,,,,,,,,,,,90744,2022,,,,,,,,910,"15,000 to 19,999 sqft (CITY OWNED BUILDING)"
307 S SWALL DR,444782849253,64.7,COMPLIED,-26.1,-26.1,90,No,Not Available,Not Available,Yariv Enterprises,27680,Not Available,Not Available,1,95,Not Available,90048,2020,Multifamily Housing,39.1,75.9,718.1,39.2,76.1,1988,076,"20,000 to 49,999 sqft"
1550 N HOBART BLVD,469257858683,171.3,COMPLIED,12.9,12.9,29,No,Not Available,Not Available,Yariv Enterprises,41397,Not Available,Not Available,1,95,Not Available,90027,2020,Multifamily Housing,72.5,114.3,2735.6,74.6,116.4,1963,024,"20,000 to 49,999 sqft"
21415 DEVONSHIRE ST,381005916882,31.4,COMPLIED,-84.7,-84.7,Not Available,No,Not Available,Not Available,"Bay Efficiency, LLC",35443,Not Available,Not Available,1,100,Not Available,91311,2022,Strip Mall,12.5,35,1826.7,11.7,32.8,1961,103,"20,000 to 49,999 sqft"
13536 SATICOY ST,432268898692,37,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",27000,Not Available,Not Available,1,100,Not Available,91402,2022,Manufacturing/Industrial Plant,20.9,51.9,406.2,21.7,52.8,1959,012,"20,000 to 49,999 sqft"
700 S BROADWAY,484869838784,Not Available,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Golden Hills Properties, LLC",106000,Not Available,Not Available,1,100,Not Available,90014,2020,Mixed Use Property,Not Available,Not Available,Not Available,Not Available,Not Available,1992,053,"100,000+ sqft"
1450 W TEMPLE ST,483348846957,98.9,COMPLIED,-26.8,-26.8,87,No,Not Available,Not Available,"Solari Enterprises, Inc.",75425,Not Available,Not Available,1,100,Not Available,90026,2019,Multifamily Housing,22.7,48.5,2499.2,22.7,48.5,1991,024,"20,000 to 49,999 sqft"
22301 VICTORY BLVD,376346890898,158.7,COMPLIED,-20.6,-20.6,80,Yes,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",69931,Not Available,Not Available,12,100,Not Available,91303,2020,Multifamily Housing,38.7,69,3395.4,41,71.5,1985,012,"50,000 to 99,999 sqft"
7230 BELLAIRE AVE,438074896244,,NOT COMPLIED,,,,,,,,,,,,,,91605,2022,,,,,,,,048,"100,000+ sqft"
9901 TOPANGA CANYON BLVD,378286914060,5.8,COMPLIED,-95.5,-95.5,Not Available,No,Not Available,Not Available,Walden Investments LLC,24226,Not Available,Not Available,1,100,461.6,91311,2020,Other - Mall,3.6,10.1,461.6,3.7,10.3,1980,060,"20,000 to 49,999 sqft"
601 S DETROIT ST,457048846116,37.7,COMPLIED,-34.5,-34.5,94,No,Not Available,Not Available,Roxbury Management Company,22640,Not Available,Not Available,1,100,Not Available,90036,2023,Multifamily Housing,28.9,47.5,591,25.6,44,1928,013,"20,000 to 49,999 sqft"
9635 VAN NUYS BLVD,425429911939,5.4,COMPLIED,-85.8,-85.8,Not Available,No,Not Available,Not Available,Self Storage Management Company,33475,Not Available,Not Available,12,90,Not Available,91402,2020,Self-Storage Facility,2.4,6.8,242.9,Not Available,Not Available,1978,003,"50,000 to 99,999 sqft"
4346 MATILIJA AVE,430513877272,67.3,COMPLIED,-29.7,-29.7,92,No,Not Available,Not Available,Los  Angeles Property Management Group,26253,Not Available,Not Available,1,100,Not Available,91423,2020,Multifamily Housing,44.1,71.6,883.4,47.8,75.6,1964,028,"20,000 to 49,999 sqft"
694 S RIO ST,493822835341,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Byer California,39000,Not Available,Not Available,2,100,Not Available,90023,2019,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,Not Available,Not Available,1987,047,"20,000 to 49,999 sqft"
3699 WILSHIRE BLVD,468923845129,671.9,COMPLIED,-59.1,-59.1,97,No,Not Available,Not Available,3699 Wilshire LLC,320000,Not Available,Not Available,1,65,Not Available,90010,2020,Office,31.4,81.9,3420.2,31.4,80.9,1982,020,"100,000+ sqft"
1403 N NEW HAMPSHIRE AVE,472945857813,9.2,COMPLIED,-90.5,-90.5,Not Available,No,Not Available,Not Available,Bono New Hampshire LTD Ptnshp,34319,Not Available,Not Available,1,100,Not Available,90027,2020,Multifamily Housing,4,11.3,3245,4,11.3,1975,018,"20,000 to 49,999 sqft"
18926 SHERMAN WAY,396735895882,91.2,COMPLIED,-24.6,-24.6,88,Yes,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",32840,Not Available,Not Available,5,100,Not Available,91335,2020,Multifamily Housing,47.4,84.1,1880.6,49.8,86.6,1984,048,"20,000 to 49,999 sqft"
4140 ARCH DR,449387874597,39.2,COMPLIED,-62.8,-62.8,100,No,Not Available,Not Available,Landmark,30274,Not Available,Not Available,1,95,Not Available,91604,2020,Multifamily Housing,19.2,51.2,1922.5,19.2,51.2,1970,012,"20,000 to 49,999 sqft"
8056 LANGDON AVE,420154901929,,NOT COMPLIED,,,,,,,,,,,,,,91406,2022,,,,,,,,023,"20,000 to 49,999 sqft"
3141 E OLYMPIC BLVD,497729829974,,NOT COMPLIED,,,,,,,,,,,,,,90023,2024,,,,,,,,904,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
13287 RALSTON AVE,418555936162,683.8,COMPLIED,10.7,10.7,44,No,Not Available,Not Available,Vallarta Supermarkets,91500,Not Available,Not Available,1,100,Not Available,91342,2022,Refrigerated Warehouse,109.3,304,2678,107,296.8,2014,069,"100,000+ sqft"
2001 S ALAMEDA ST,488920828913,,NOT COMPLIED,,,,,,,,,,,,,,90058,2022,,,,,,,,008,"100,000+ sqft"
1625 N HUDSON AVE,460936859106,,NOT COMPLIED,,,,,,,,,,,,,,90028,2022,,,,,,,,029,"20,000 to 49,999 sqft"
2040 W JEFFERSON BLVD,465876831651,,NOT COMPLIED,,,,,,,,,,,,,,90018,2022,,,,,,,,023,"20,000 to 49,999 sqft"
6633 WOODLEY AVE,415240892364,,NOT COMPLIED,,,,,,,,,,,,,,91406,2022,,,,,,,,023,"20,000 to 49,999 sqft"
10220 ETON AVE,381932916205,131.1,COMPLIED,-22.2,-22.2,82,Yes,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",61804,Not Available,Not Available,5,100,Not Available,91311,2020,Multifamily Housing,35.9,66.1,2096,37.9,68.2,1986,036,"50,000 to 99,999 sqft"
21051 GRESHAM ST,382637907242,295.1,COMPLIED,8,8,38,No,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",125252,Not Available,Not Available,12,100,Not Available,91304,2020,Multifamily Housing,40.1,72.3,4980.5,41.7,74,1981,083,"100,000+ sqft"
22122 ERWIN ST,377247889389,151.5,COMPLIED,-10.6,-10.6,66,No,Not Available,Not Available,Jones & Jones Communities,83503,Not Available,Not Available,1,100,Not Available,91367,2023,Multifamily Housing,25.7,70.9,2129.7,25.7,70.9,1971,035,"50,000 to 99,999 sqft"
6925 CANBY AVE,399886894210,,NOT COMPLIED,,,,,,,,,,,,,,91335,2022,,,,,,,,021,"50,000 to 99,999 sqft"
318 S DETROIT ST,457224847384,134,COMPLIED,-1.3,-1.3,52,No,Not Available,Not Available,"Vert Energy Group, Inc.",59270,Not Available,Not Available,1,100,Not Available,90036,2023,Multifamily Housing,36.5,70.1,2069.1,35.9,69.5,1988,034,"50,000 to 99,999 sqft"
7700 TOPANGA CANYON BLVD,378545899428,238.7,COMPLIED,-21.5,-21.5,81,Yes,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",107034,Not Available,Not Available,15,100,Not Available,91304,2020,Multifamily Housing,38,68.2,424.9,40.3,70.7,1986,040,"50,000 to 99,999 sqft"
1328 W JAMES M WOOD BLVD,479881840416,27.9,COMPLIED,-77.9,-77.9,100,No,Not Available,Not Available,1010 Development Corp.,50330,Not Available,Not Available,1,100,Not Available,90015,2021,Multifamily Housing,10,16.2,1013.6,10,16.2,2006,027,"20,000 to 49,999 sqft"
5138 W SUNSET BLVD,470298858150,10.1,NOT COMPLIED,-74.2,-74.2,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",34638,Not Available,Not Available,1,100,Not Available,90027,2020,Self-Storage Facility,4.4,12.3,179.5,4.4,12.3,1988,018,"20,000 to 49,999 sqft"
13287 RALSTON AVE,418555936162,718.7,COMPLIED,84.5,84.5,16.0,No,Not Available,Not Available,Vallarta Supermarkets,91500.0,2221.7,24.28,1.0,100.0,Not Available,91342,2018,Refrigerated Warehouse,111.8,310.9,2221.7,110.2,306.2,2014,069,"100,000+ sqft"
3240 WILSHIRE BLVD,473119844864,623.3,COMPLIED,25.6,25.6,Not Available,No,Not Available,Not Available,"VHDG Koreatown, LLC",138730.0,Not Available,Not Available,1.0,20.0,Not Available,90010,2016,Mixed Use Property,59.2,186.0,10504.1,59.2,186.0,1941,044,"100,000+ sqft"
3201 EXPOSITION PL,461454830331,15.4,COMPLIED,-20.9,-20.9,62,No,Not Available,Not Available,Charles Gemeiner Cabinets,20000,Not Available,Not Available,1,100,Not Available,90018,2020,Non-Refrigerated Warehouse,11.6,32.3,3,11.6,32.3,1952,014,"20,000 to 49,999 sqft"
2411 W TEMPLE ST,479049848731,,NOT COMPLIED,,,,,,,,,,,,,,90026,2022,,,,,,,,012,"20,000 to 49,999 sqft"
6225 W CENTURY BLVD,441826802953,1675.9,COMPLIED,-21.7,-21.7,76,No,Not Available,Not Available,The Eric Ryan Corporation,453588,Not Available,Not Available,1,80,Not Available,90045,2020,Hotel,60.9,125,11744,60.9,125,1980,011,"100,000+ sqft"
3545 SAWTELLE BLVD,433389828284,3.1,COMPLIED,-95.5,-95.5,Not Available,No,Not Available,Not Available,Walden Investments LLC,25226,Not Available,Not Available,1,95,Not Available,90066,2020,Multifamily Housing,1.9,5.3,1329.1,1.9,5.3,1973,030,"20,000 to 49,999 sqft"
18323 VANOWEN ST,400633893574,658.8,COMPLIED,5.1,5.1,42,No,Not Available,Not Available,"Vert Energy Group, Inc.",191500,Not Available,Not Available,13,95,Not Available,91335,2022,Multifamily Housing,59.4,94.7,11842.4,63.2,98.7,1970,009,"100,000+ sqft"
1399 ROXBURY DR,439590842269,138.4,NOT COMPLIED,33.3,33.3,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",45898,Not Available,Not Available,1,100,Not Available,90035,2022,Other,42.5,119,394.2,41.8,117.1,1990,046,"20,000 to 49,999 sqft"
12000 FOOTHILL BLVD,441150923314,,NOT COMPLIED,,,,,,,,,,,,,,91342,2022,,,,,,,,043,"50,000 to 99,999 sqft"
7101 MCKINLEY AVE,482357813711,20.4,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"National Sandblasting Co, INC",28050,167.6,5.97,2,100,Not Available,90001,2022,Manufacturing/Industrial Plant,10.6,29.7,167.6,10.6,29.7,1930,004,"20,000 to 49,999 sqft"
12636 BEATRICE ST,999000000490,91.2,COMPLIED,-45.7,-45.7,87,No,Not Available,Not Available,"Samy's Camera, Inc.",40000,Not Available,Not Available,1,100,Not Available,90066,2022,Mixed Use Property,35.6,81.5,89.8,35.8,80.9,1980,012,"20,000 to 49,999 sqft"
5364 WILSHIRE BLVD,456961845132,76,COMPLIED,-78.2,-78.2,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",58698,Not Available,Not Available,1,100,Not Available,90036,2020,Strip Mall,20.4,49.8,136.1,20.4,49.8,1930,026,"20,000 to 49,999 sqft"
600 E WASHINGTON BLVD,483161832681,43.9,COMPLIED,-30.6,-30.6,69,No,Not Available,Not Available,Gsmart,82000,122.1,1.49,1,85,Not Available,90015,2021,Non-Refrigerated Warehouse,7.8,21.9,122.1,8.1,22.8,2004,028,"100,000+ sqft"
4770 KESTER AVE,423440880007,76.3,COMPLIED,-22.6,-22.6,83,No,Not Available,Not Available,Unknown,45832,Not Available,Not Available,1,100,Not Available,91403,2021,Multifamily Housing,29.1,58.9,1530.5,29.5,59.2,1985,187,"20,000 to 49,999 sqft"
1125 E LANZIT AVE,484007799117,,NOT COMPLIED,,,,,,,,,,,,,,90059,2022,,,,,,,,011,"50,000 to 99,999 sqft"
11070 FLEETWOOD ST,449178906615,,NOT COMPLIED,,,,,,,,,,,,,,91352,2022,,,,,,,,020,"20,000 to 49,999 sqft"
7225 WOODMAN AVE,430990896176,,NOT COMPLIED,,,,,,,,,,,,,,91405,2022,,,,,,,,048,"20,000 to 49,999 sqft"
1914 RAYMOND AVE,471653836890,,NOT COMPLIED,,,,,,,,,,,,,,90007,2022,,,,,,,,009,"20,000 to 49,999 sqft"
8406 S HOOVER ST,474680808619,23.2,COMPLIED,-31.7,-31.7,73,No,Not Available,Not Available,Iglesia de Cristo Elim Central Los Angeles,15152,Not Available,Not Available,1,100,Not Available,90044,2020,Worship Facility,22.4,62.6,119.8,Not Available,Not Available,1952,029,"20,000 to 49,999 sqft"
18107 SHERMAN WAY,402123896129,19.66,COMPLIED,-73.3,-73.3,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",20900,Not Available,Not Available,1,100,Not Available,91335,2024,Retail Store,14.5,37.5,88.3,15,38.6,1960,019,"20,000 to 49,999 sqft"
2819 LEEWARD AVE,475392843947,97.9,COMPLIED,-8.9,-8.9,63,No,Not Available,Not Available,Linder and Associates,26756,Not Available,Not Available,1,100,Not Available,90005,2020,Multifamily Housing,65.7,91.1,6979.3,67.1,92.5,1924,015,"20,000 to 49,999 sqft"
2410 W 7TH ST,476739843570,1.6,COMPLIED,-73.1,-73.1,Not Available,No,Not Available,Not Available,Bono Park View LTD Partnership,2000,Not Available,Not Available,0,100,Not Available,90057,2020,Medical Office,11.7,32.8,513.9,11.7,32.8,2017,002,"20,000 to 49,999 sqft"
746 CRENSHAW BLVD,464770844147,64.6,COMPLIED,-10.9,-10.9,68,No,Not Available,Not Available,Samuel and Ruth Song LP,26784,Not Available,Not Available,1,100,Not Available,90005,2020,Multifamily Housing,40.1,79.3,1208.1,40.7,79.9,1988,043,"20,000 to 49,999 sqft"
3500 W ADAMS BLVD,463900834194,44.8,COMPLIED,-47.7,-47.7,Not Available,No,Not Available,Not Available,PTS,20000,Not Available,Not Available,2,100,Not Available,90018,2020,College/University,33.8,94.5,1376.4,33.8,94.5,1915,021,"20,000 to 49,999 sqft"
600 S BROADWAY,485293839290,Not Available,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Golden Hills Properties, LLC",188000,Not Available,Not Available,1,70,Not Available,90014,2020,Mixed Use Property,Not Available,Not Available,Not Available,Not Available,Not Available,1909,018,"100,000+ sqft"
21555 ROSCOE BLVD,380044903117,,NOT COMPLIED,,,,,,,,,,,,,,91304,2022,,,,,,,,022,"20,000 to 49,999 sqft"
12001 VENTURA PL,442729875040,262.3,COMPLIED,-41,-41,87,No,08/01/2022,"2022, 2021, 2020, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006",12001 Ventura Corporation c/o Lincoln Property Company,72021,1194.6,16.59,1,85,Not Available,91604,2022,Office,58.2,123.7,1196.7,62.5,128.2,1981,001,"50,000 to 99,999 sqft"
9601 VARIEL AVE,382292912164,23.7,COMPLIED,-47.4,-47.4,80,No,Not Available,Not Available,THE OSTROW PARTNERSHIP,41050,731.3,17.81,1,100,Not Available,91311,2022,Distribution Center,8.6,22.7,731.3,8.9,23,1985,023,"20,000 to 49,999 sqft"
2111 E 1ST ST,497294838940,16.2,COMPLIED,-40.8,-40.8,Not Available,No,Not Available,Not Available,ece_cola_gsd,8615,Not Available,Not Available,1,100,17.6,90033,2022,Police Station,28,73.9,66.6,27.7,73.6,1990,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
629 S BROADWAY,485038839262,Not Available,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Golden Hills Properties, LLC",56096,Not Available,Not Available,1,100,Not Available,90014,2020,Retail Store,Not Available,Not Available,Not Available,Not Available,Not Available,1910,013,"50,000 to 99,999 sqft"
9600 LURLINE AVE,385327911908,1.6,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",20277,Not Available,Not Available,1,100,Not Available,91311,2020,Manufacturing/Industrial Plant,1.5,1.7,19.4,1.8,2,1973,027,"50,000 to 99,999 sqft"
21030 GRESHAM ST,382681906783,373.3,COMPLIED,-18.4,-18.4,77,Yes,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",153921,Not Available,Not Available,13,100,Not Available,91304,2020,Multifamily Housing,41.3,74,5817.6,43.1,75.9,1986,050,"100,000+ sqft"
1802 N ALVARADO ST,483809853957,174.8,COMPLIED,-5.9,-5.9,59,No,Not Available,Not Available,Spieker Companies Inc.,54000,Not Available,Not Available,5,100,Not Available,90026,2020,Multifamily Housing,57.3,86,2928.6,60.5,89.3,1970,016,"50,000 to 99,999 sqft"
6805 LOUISE AVE,407346893402,207.8,COMPLIED,-16.5,-16.5,79,Yes,Not Available,Not Available,Decron Properties,70937,Not Available,Not Available,1,100,Not Available,91406,2020,Multifamily Housing,47.9,101.7,2547.1,49.6,103.5,1976,014,"50,000 to 99,999 sqft"
1533 HI POINT ST,449695840458,44.4,COMPLIED,-30.5,-30.5,91,No,Not Available,Not Available,California Land Ind.,22978,Not Available,Not Available,1,100,Not Available,90035,2023,Multifamily Housing,33.5,55.1,568.5,31.7,53.3,1965,031,"20,000 to 49,999 sqft"
6250 N CANOGA AVE,381383890052,,NOT COMPLIED,,,,,,,,,,,,,,91367,2022,,,,,,,,034,"100,000+ sqft"
4721 E KLAMATH ST,506732850132,,NOT COMPLIED,,,,,,,,,,,,,,90032,2022,,,,,,,,900,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
15460 ERWIN ST,419241889195,90.9,COMPLIED,-65.8,-65.8,Not Available,No,Not Available,Not Available,Self Storage Management Company,234755,Not Available,Not Available,3,90,Not Available,91411,2020,Self-Storage Facility,5.8,16.3,918.4,5.8,16.3,1989,007,"100,000+ sqft"
21001 ROSCOE BLVD,383096903162,85.5,COMPLIED,-16.5,-16.5,75,No,Not Available,Not Available,"RealPage Utility Management, Inc.",30705,Not Available,Not Available,1,95,Not Available,91304,2022,Multifamily Housing,47,81.9,1160.4,51.3,86.3,1963,026,"20,000 to 49,999 sqft"
444 S OCCIDENTAL BLVD,475762846112,34,COMPLIED,-90.9,-90.9,100,Yes,Not Available,Not Available,bono occidental lp,404448,Not Available,Not Available,1,100,Not Available,90057,2020,Multifamily Housing,1.3,3.6,3091.9,1.3,3.6,1989,120,"100,000+ sqft"
6615 DE SOTO AVE,383536892205,72.3,COMPLIED,-12.1,-12.1,69,No,Not Available,Not Available,Aperto Property Management Inc,23173,Not Available,Not Available,1,95,Not Available,91303,2020,Multifamily Housing,52.6,92.3,1597.8,54.9,94.7,1961,034,"20,000 to 49,999 sqft"
740 S OLIVE ST,484063839048,510.1,NOT COMPLIED,-25.5,-25.5,86,Yes,Not Available,Not Available,"Vert Energy Group, Inc.",268080,Not Available,Not Available,1,100,Not Available,90014,2020,Multifamily Housing,30.9,66.9,9034.2,31.3,67.3,1922,034,"100,000+ sqft"
15041 KESWICK ST,422443899457,18.7,COMPLIED,-54.8,-54.8,85,No,Not Available,Not Available,Cinmark Realty Co,46812,Not Available,Not Available,1,100,Not Available,91405,2019,Non-Refrigerated Warehouse,6,16.9,28.4,5.9,16.6,1960,037,"20,000 to 49,999 sqft"
7058 HAZELTINE AVE,428788895197,,NOT COMPLIED,,,,,,,,,,,,,,91405,2022,,,,,,,,007,"20,000 to 49,999 sqft"
1114 S LOS ANGELES ST,483786836230,,NOT COMPLIED,,,,,,,,,,,,,,90015,2022,,,,,,,,021,"20,000 to 49,999 sqft"
1157 S BUNDY DR,16155,,NOT COMPLIED,,,,,,,,,,,,,,90049,2019,,,,,,,,029,"50,000 to 99,999 sqft"
21801 LANARK ST,379389902171,86.4,COMPLIED,-17.4,-17.4,76,No,02/17/2021,2020,"Vert Energy Group, Inc.",30872,Not Available,Not Available,1,100,Not Available,91304,2023,Multifamily Housing,46.3,82,2757.3,46.5,82.3,1964,051,"20,000 to 49,999 sqft"
20732 LASSEN ST,384687913583,181.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,AeroAntenna Technology,28456,570.6,20.05,1,100,Not Available,91311,2020,Manufacturing/Industrial Plant,97.2,265.3,570.6,94.7,257.1,1977,035,"20,000 to 49,999 sqft"
719 S BROADWAY,484626838878,,NOT COMPLIED,,,,,,,,,,,,,,90014,2022,,,,,,,,037,"20,000 to 49,999 sqft"
840 S ARDMORE AVE,470235843168,25.2,COMPLIED,-73.9,-73.9,100,No,Not Available,Not Available,Robert Cho,30000,Not Available,Not Available,1,80,Not Available,90005,2020,Multifamily Housing,15.4,19,1365.7,15.9,19.5,1967,024,"20,000 to 49,999 sqft"
8533 COLUMBUS AVE,420779904845,109.3,COMPLIED,-20.1,-20.1,81,Yes,Not Available,Not Available,FOOTHILL ENTERPRISES,40758,Not Available,Not Available,2,100,Not Available,91343,2020,Multifamily Housing,45.4,83.5,4471.9,46.8,85,1979,049,"20,000 to 49,999 sqft"
5738 CARLTON WAY,466306858950,87.1,COMPLIED,5.3,5.3,42,No,Not Available,Not Available,"Vert Energy Group, Inc.",33516,Not Available,Not Available,1,95,Not Available,90028,2022,Multifamily Housing,43.3,79.8,1419.1,42.6,79,1930,019,"20,000 to 49,999 sqft"
16600 SHERMAN WAY,411996895820,408.3,NOT COMPLIED,-54,-54,91,No,Not Available,Not Available,"Vert Energy Group, Inc.",145258,Not Available,Not Available,1,100,Not Available,91406,2023,Office,46.2,83.7,1170,46.5,84.1,1980,010,"50,000 to 99,999 sqft"
609 S BROADWAY,484973839562,Not Available,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Golden Hills Properties, LLC",125000,Not Available,Not Available,2,70,Not Available,90014,2020,Mixed Use Property,Not Available,Not Available,Not Available,Not Available,Not Available,1930,015,"100,000+ sqft"
16909 PARTHENIA ST,410315906102,96.9,COMPLIED,15.8,15.8,38,No,Not Available,Not Available,"Vert Energy Group, Inc.",21729,Not Available,Not Available,1,100,Not Available,91343,2019,Office,72.4,157.4,390.1,Not Available,Not Available,1984,013,"20,000 to 49,999 sqft"
320 W 15TH ST,480830835807,,NOT COMPLIED,,,,,,,,,,,,,,90015,2022,,,,,,,,025,"50,000 to 99,999 sqft"
255 W 7TH ST,475707726968,,NOT COMPLIED,,,,,,,,,,,,,,90731,2020,,,,,,,,027,"50,000 to 99,999 sqft"
20939 PARTHENIA ST,383265906199,74.9,COMPLIED,-20.9,-20.9,81,No,Not Available,Not Available,"Vert Energy Group, Inc.",40166,Not Available,Not Available,1,100,Not Available,91304,2022,Multifamily Housing,28.2,71.2,2591.3,28.2,71.2,1977,026,"20,000 to 49,999 sqft"
7055 LENNOX AVE,426895895059,,NOT COMPLIED,,,,,,,,,,,,,,91405,2022,,,,,,,,014,"100,000+ sqft"
20675 BAHAMA ST,385237907524,,NOT COMPLIED,,,,,,,,,,,,,,91311,2022,,,,,,,,035,"20,000 to 49,999 sqft"
625 N HILL ST,488476844203,237.6,COMPLIED,-29.8,-29.8,93,No,Not Available,Not Available,Avanath Capital Management,98589,Not Available,Not Available,1,95,Not Available,90012,2021,Multifamily Housing,40.6,71.3,7976.5,40,70.7,2003,023,"50,000 to 99,999 sqft"
